State,Rape,Violent Total,Burglary,Larceny,Property Total,Index Total
Alabama,123.817874932558,2821.32673314603,3058.59359869451,12264.5887656677,17084.5274021715,19905.85413531753
Alaska,-55.2440739409962,-136.781222749794,-9.33846956983511,115.580404183463,214.85281435782,78.07159160802598
Arizona,-5.19533846248239,-473.746677729411,-719.318335596552,-5659.05547225193,-6867.64250700327,-7341.389184732681
Arkansas,-12.8936214469036,-67.9926918861933,-146.981931501569,-520.477812352348,-743.416913813649,-811.4096056998422
California,0.0,0.0,0.0,0.0,0.0,0.0
Colorado,-10.0416742041826,-133.410122832581,-27.0531852484202,-42.004434893642,-92.4585002113105,-225.8686230438915
Connecticut,0.0,0.0,0.0,0.0,0.0,0.0
Delaware,0.0,0.0,0.0,0.0,0.0,0.0
District of Columbia,1.2233910642719,424.151388620841,-1.97456961395257,279.888955052093,303.351514919904,727.5029035407449
Florida,0.0,0.0,0.0,0.0,0.0,0.0
Georgia,-235.932281367101,-4894.12470572699,-2333.80507341537,-18804.8770581691,-23167.4860719076,-28061.61077763459
Hawaii,0.0,0.0,0.0,0.0,0.0,0.0
Idaho,-0.341804723308075,-15.2377219059452,35.1168242393231,-96.2966794275065,-26.7909272865701,-42.0286491925153
Illinois,0.0,0.0,0.0,0.0,0.0,0.0
Indiana,-319.436775518509,-3310.4016053153,-1416.61705063832,-10213.1051964028,-13225.4024132699,-16535.8040185852
Iowa,-98.3555924013593,-325.766756011331,-252.827147197766,-1884.03835233494,-2305.15427701898,-2630.921033030311
Kansas,-22.3114221969564,-846.628620195957,-287.98406545744,-705.222145256718,-1306.62679270919,-2153.255412905147
Kentucky,22.714908504218,374.989852896113,13.6429865298334,150.081486422242,778.197834452106,1153.187687348219
Louisiana,7.86197829726309,1801.92420032282,3431.54844319362,-177.88863275578,7043.63341435313,8845.55761467595
Maine,1.66121700430113,6.99042116000301,-22.6291407159518,64.5918005876641,60.0331761693995,67.02359732940252
Maryland,0.0,0.0,0.0,0.0,0.0,0.0
Massachusetts,-0.171592270485299,65.7518453405664,2.38368199305083,80.5248380864718,131.487102160025,197.2389475005914
Michigan,-44.6995222256738,-212.744868054585,15.7104116333533,-185.587925807022,-137.30537987891,-350.05024793349503
Minnesota,7.38235091950748,112.29526880546,36.1085086846816,299.88541523192,387.17609215485,499.47136096031
Mississippi,-86.0743358030505,-528.620914074465,-1166.83047760996,-5772.36474201117,-7444.03337176648,-7972.654285840945
Missouri,-52.5460454525628,-2222.56385503675,-190.847430785014,-2567.29867017071,-2721.39485254263,-4943.95870757938
Montana,1.27522836940467,-50.9215078863489,-23.8275501133943,106.620071617968,58.0160528449823,7.094544958633399
Nebraska,125.848495722762,682.973433657794,96.8942823363809,982.129909448294,1323.55578421771,2006.529217875504
Nevada,-12.2920732996472,-97.2085763979902,-79.2636584528551,-549.128671745218,-605.733191433142,-702.9417678311322
New Hampshire,-7.15683977859643,-75.9601279425719,-6.5008856456244,-10.4816819376677,-7.56297276825233,-83.52310071082422
New Jersey,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico,0.0,0.0,0.0,0.0,0.0,0.0
New York,-233.043019385236,-5622.61185680349,-4468.12805379304,-32937.7618050224,-41164.9275146086,-46787.53937141209
North Carolina,-25.4143077441056,-799.099540533428,-512.823326888972,-2742.30094305416,-3533.27561994473,-4332.375160478158
North Dakota,3.14881227275395,12.5264993038297,13.3473679949627,47.8069747769125,60.0207675347374,72.5472668385671
Ohio,-272.632521275089,-1383.27678549708,-998.913427160566,-1972.84692789488,-4503.93243107688,-5887.20921657396
Oklahoma,-1.04498602038933,-13.2149541519345,7.20803143893122,-105.805370452001,-96.6415046544677,-109.8564588064022
Oregon,-18.0735991199789,-154.262384907759,-179.746288248899,-1820.54224858695,-2240.2818626348,-2394.544247542559
Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0
Rhode Island,7.54718211994614,17.3799012452611,1.37146823042355,34.1107366268042,46.9453676662817,64.32526891154279
South Carolina,-22.6589755526071,-294.511583244374,-158.595463281342,-365.171313351744,-444.519565747872,-739.031148992246
South Dakota,-70.9408013621829,-150.96838543203,-191.009733234367,-1204.85415306985,-1686.36595199121,-1837.33433742324
Tennessee,16.3657754641494,124.201665898029,59.0530109295756,405.885583945107,662.197944050453,786.399609948482
Texas,-118.523254568768,-2650.53383455107,-957.461087108578,-4314.26751753698,-6221.6052370293,-8872.13907158037
Utah,11.4080319916594,2.89871727416861,-144.138613450194,-447.651895460574,-707.792781515963,-704.8940642417945
Vermont,0.0,0.0,0.0,0.0,0.0,0.0
Virginia,0.940942675671318,23.8093086752882,3.24102143441813,31.2479655317066,67.5217523737421,91.3310610490303
Washington,2.23163284652405,46.0738856027865,110.654097799854,748.427677408484,954.313505766032,1000.3873913688185
West Virginia,14.2277180992198,33.3991220056399,-412.330626910189,-1614.30005053646,-1891.01972394113,-1857.6206019354902
Wisconsin,-86.7709971324748,-404.98510336384,-307.081321464512,-1710.15695204383,-2347.55911036229,-2752.5442137261302
Wyoming,-19.2560130644633,1.5532643217832,21.4065681160838,123.864239997919,371.672481894939,373.2257462167222
