,year,Index Total,Violent Total,Property Total,Murder,Rape,Robbery,Aggravated Assault,Burglary,Larceny,Motor Vehicle Theft
0,1990,7185.0,503.0,6682.0,-1.0,20.0,104.0,380.0,1475.0,4357.0,850.0
1,1991,1148.0,120.0,1028.0,14.0,2.0,4.0,100.0,543.0,522.0,-37.0
2,1992,2903.0,3146.0,-243.0,15.0,26.0,2521.0,584.0,1096.0,-1991.0,652.0
3,1993,-401.0,2761.0,-3162.0,34.0,32.0,2204.0,491.0,632.0,-3908.0,114.0
4,1994,2068.0,440.0,1628.0,36.0,1.0,68.0,335.0,760.0,670.0,198.0
5,1995,-539.0,952.0,-1491.0,-1.0,71.0,-24.0,906.0,-234.0,-1263.0,6.0
6,1996,293.0,278.0,15.0,23.0,15.0,-30.0,270.0,-137.0,65.0,87.0
7,1997,-19.0,-23.0,4.0,7.0,-10.0,-45.0,25.0,-778.0,825.0,-43.0
8,1998,3080.0,-59.0,3139.0,1.0,-94.0,-97.0,131.0,834.0,1863.0,442.0
9,1999,-6290.0,319.0,-6609.0,-12.0,127.0,-1247.0,1451.0,1708.0,-4377.0,-3940.0
10,2000,3016.0,624.0,2392.0,-2.0,178.0,-1070.0,1518.0,2918.0,2902.0,-3428.0
11,2001,-1460.0,-686.0,-774.0,-11.0,98.0,-1162.0,389.0,1268.0,877.0,-2919.0
12,2002,-1789.0,432.0,-2221.0,4.0,111.0,-293.0,610.0,205.0,-1474.0,-952.0
13,2003,2489.0,129.0,2360.0,17.0,5.0,12.0,95.0,36.0,2256.0,68.0
14,2004,7008.0,648.0,6360.0,-1.0,47.0,156.0,446.0,767.0,5370.0,223.0
15,2005,2430.0,315.0,2115.0,0.0,21.0,175.0,119.0,232.0,1682.0,201.0
16,2006,4726.0,200.0,4526.0,-5.0,3.0,78.0,124.0,130.0,4351.0,45.0
17,2007,2591.0,144.0,2447.0,-3.0,4.0,49.0,94.0,80.0,2311.0,56.0
18,2008,1454.0,105.0,1349.0,0.0,11.0,44.0,50.0,30.0,1323.0,-4.0
19,2009,2678.0,280.0,2398.0,-3.0,17.0,78.0,188.0,92.0,2218.0,88.0
20,2010,5770.0,655.0,5115.0,2.0,30.0,225.0,398.0,1144.0,3741.0,230.0
21,2011,385.0,-5.0,390.0,-1.0,-23.0,52.0,-33.0,137.0,-341.0,594.0
22,2012,2440.0,234.0,2206.0,-5.0,6.0,79.0,154.0,309.0,1782.0,115.0
23,2013,3471.0,1082.0,2389.0,-1.0,932.0,62.0,89.0,266.0,2149.0,-26.0
24,2014,4904.0,3607.0,1297.0,0.0,3488.0,42.0,77.0,72.0,1207.0,18.0
25,2015,903.0,-31.0,934.0,-7.0,-10.0,-9.0,-5.0,48.0,957.0,-71.0
26,2016,1538.0,189.0,1349.0,-2.0,34.0,24.0,133.0,101.0,1208.0,40.0
27,2017,959.0,37.0,922.0,-1.0,-89.0,53.0,74.0,47.0,876.0,-1.0
28,2018,928.0,-66.0,994.0,-6.0,-149.0,-3.0,92.0,109.0,855.0,30.0
29,2019,3051.0,362.0,2689.0,-5.0,-6.0,89.0,284.0,447.0,1903.0,339.0
30,2020,-734.0,-369.0,-365.0,-35.0,-182.0,-17.0,-135.0,-518.0,217.0,-64.0
