County,population_21,violent_crime_2020,property_crime_2020,murder_2020,total_crime_2020,NIBRS Months_21,NIBRS Months_22,Index Crime Months,Historical mean,count
Albany,303723,1091,6204,17,7295,1.714285714,3.428571429,11.58333333,11.91666667,14
Allegany,45491,71,320,3,391,0,0,11.81818182,11.49309235,12
Broome,175763,559,4080,4,4639,6.857142857,6.857142857,10.85714286,11.83751044,7
Cattaraugus,73627,123,718,1,841,2.4,2.4,12,11.78825911,10
Cayuga,75732,117,635,1,752,2,3.666666667,12,11.95833333,6
Chautauqua,125262,313,2307,1,2620,10.3,9.7,12,12,10
Chemung,82347,173,1336,3,1509,0,0,12,11.96491228,6
Chenango,46567,109,593,0,702,0,1,10.83333333,11.75036311,9
Clinton,79798,122,1008,1,1130,0,0,12,12,4
Columbia,56117,86,597,0,683,2,1.333333333,11,11,6
Cortland,47095,89,707,1,796,0,4.6,10.5,11.95789474,5
Delaware,43459,68,388,1,456,0,0,12,11.3671875,8
Dutchess,291964,557,3031,7,3588,3.933333333,4.6,11.5,11.41688596,15
Erie,914573,3525,17322,67,20847,1.25,1.791666667,12,11.80611111,24
Essex,34881,58,246,0,304,0,0,11.4,11.97697368,5
Franklin,51035,76,551,0,627,0,0,10.5,12,5
Fulton,52698,113,849,1,962,0,3.4,11.6,12,5
Genesee,56509,99,688,0,787,5.75,5.75,9.75,12,4
Greene,46678,192,362,0,554,0,0,12,11.69736842,9
Hamilton,4342,7,39,0,46,0,0,12,11.98245614,3
Herkimer,60714,104,794,1,898,1.2,1.2,12,11.42591707,10
Jefferson,107654,271,1764,0,2035,1.714285714,1.714285714,12,11.31407265,14
Lewis,26044,21,104,0,125,4,4,12,12,3
Livingston,62263,40,351,0,391,1.666666667,2.111111111,12,11.91847265,9
Madison,70220,133,821,2,954,0,2.625,11.125,11.65131579,8
Monroe,736749,2165,12951,50,15116,8.923076923,10.07692308,11.61538462,11.78677463,13
Montgomery,48790,67,695,1,762,2,1.833333333,12,11.2560307,6
Nassau,1349999,1817,10402,23,12219,1.090909091,1.409090909,11.95,11.9047714,22
Niagara,206668,594,3824,10,4418,6.9,7.1,11.3,11.56842105,10
Oneida,226556,521,3558,3,4032,3.75,4.125,11.92857143,11.73538012,16
Onondaga,456836,1620,8385,33,10005,0,0,11.94117647,11.89392463,16
Ontario,109258,167,1348,2,1515,0,0,10.6,11.44300483,7
Orange,383786,665,4062,9,4727,2,2.878787879,12,11.8765061,33
Orleans,39829,63,384,0,447,0,0,12,11.81052632,5
Oswego,115839,178,1527,0,1705,4.5,4.5,12,11.64473684,8
Otsego,58818,70,538,0,608,2.2,4,12,11.85263158,5
Putnam,97548,37,360,0,397,1.666666667,2,11.5,11.48703704,6
Rensselaer,157637,449,2716,9,3165,0,0,12,11.94152047,9
Rockland,325221,266,2333,5,2599,7.090909091,6.727272727,11.09090909,11.92822967,11
Saratoga,229316,220,1941,3,2161,1.5,1.5,12,12,8
Schenectady,154361,554,3296,5,3850,1.714285714,5.142857143,12,12,7
Schoharie,30621,43,273,0,316,0,2.4,12,12,5
Schuyler,17637,10,40,0,50,0,0,12,11.85964912,3
Seneca,33665,51,367,1,418,7.2,6.8,12,9.87012987,5
St. Lawrence,106616,104,665,1,769,5.363636364,6.181818182,11.81818182,11.35143745,11
Steuben,94382,116,745,3,861,0,0.818181818,10.75,10.9640992,11
Suffolk,1465277,1254,16726,33,17980,1.47826087,1.347826087,11.95238095,11.67297229,23
Sullivan,74732,144,677,4,821,0,0,11.83333333,11.72807018,6
Tioga,47597,58,365,0,423,0,2,11.5,12,4
Tompkins,101580,155,1760,0,1915,0,0,10.57142857,11.55639098,7
Ulster,175918,212,1522,5,1734,7.625,6.9375,11.78571429,11.85855263,16
Warren,63351,75,648,0,723,6,5.75,12,11.98684211,4
Washington,60583,66,219,0,285,0.875,0,12,11.96710526,8
Wayne,88933,154,1012,1,1166,0,0,12,11.59549746,9
Westchester,963247,1438,7740,20,9178,2.024390244,1.780487805,11.725,11.96954785,41
Wyoming,39485,45,262,0,307,3,3.833333333,12,12,6
Yates,24704,16,205,1,221,3.666666667,4,12,12,3
